call_id,call_type,virtual_number,issue_category,status,duration,escalated,citizen_feedback,timestamp,priority,resolution_time,agent_type,satisfaction_score,callback_requested,language
C001,Inbound,TOLL_FREE,Water,Resolved,210,No,Satisfied,2024-01-15 09:30:00,Medium,180,AI,4.5,No,English
C002,Inbound,TOLL_FREE,Roads,Pending,300,Yes,Dissatisfied,2024-01-15 10:15:00,High,0,Human,2.0,Yes,Hindi
C003,Outbound,VN-10452,Electricity,Resolved,180,No,Satisfied,2024-01-15 11:00:00,Low,150,AI,4.8,No,English
C004,Inbound,TOLL_FREE,Sanitation,Escalated,420,Yes,Dissatisfied,2024-01-15 11:45:00,Critical,0,Human,1.5,Yes,Tamil
C005,Outbound,VN-88319,Water,Resolved,260,No,Satisfied,2024-01-15 12:30:00,Medium,220,AI,4.2,No,English
C006,Inbound,TOLL_FREE,Roads,Resolved,150,No,Satisfied,2024-01-15 13:15:00,Low,120,AI,4.7,No,Hindi
C007,Outbound,VN-77120,Electricity,Pending,220,Yes,Dissatisfied,2024-01-15 14:00:00,High,0,Human,2.3,Yes,English
C008,Inbound,TOLL_FREE,Sanitation,Resolved,310,No,Satisfied,2024-01-15 14:45:00,Medium,280,AI,4.0,No,Telugu
C009,Inbound,TOLL_FREE,Water,Escalated,400,Yes,Dissatisfied,2024-01-15 15:30:00,Critical,0,Human,1.8,Yes,English
C010,Outbound,VN-55901,Roads,Resolved,190,No,Satisfied,2024-01-15 16:15:00,Low,160,AI,4.6,No,Hindi
C011,Inbound,TOLL_FREE,Healthcare,Resolved,240,No,Satisfied,2024-01-15 17:00:00,High,200,AI,4.3,No,English
C012,Inbound,TOLL_FREE,Public_Transport,Pending,350,Yes,Dissatisfied,2024-01-15 17:45:00,Medium,0,Human,2.5,Yes,Marathi
C013,Outbound,VN-10452,Garbage,Resolved,200,No,Satisfied,2024-01-15 18:30:00,Low,170,AI,4.4,No,English
C014,Inbound,TOLL_FREE,Street_Lights,Resolved,180,No,Satisfied,2024-01-15 19:15:00,Low,150,AI,4.9,No,Hindi
C015,Inbound,TOLL_FREE,Water,Escalated,450,Yes,Dissatisfied,2024-01-15 20:00:00,Critical,0,Human,1.2,Yes,English
C016,Outbound,VN-88319,Electricity,Resolved,220,No,Satisfied,2024-01-16 09:00:00,Medium,190,AI,4.1,No,Tamil
C017,Inbound,TOLL_FREE,Roads,Resolved,160,No,Satisfied,2024-01-16 09:45:00,Low,130,AI,4.5,No,English
C018,Inbound,TOLL_FREE,Sanitation,Pending,380,Yes,Dissatisfied,2024-01-16 10:30:00,High,0,Human,2.2,Yes,Hindi
C019,Outbound,VN-77120,Water,Resolved,250,No,Satisfied,2024-01-16 11:15:00,Medium,210,AI,4.3,No,English
C020,Inbound,TOLL_FREE,Building_Permits,Escalated,500,Yes,Dissatisfied,2024-01-16 12:00:00,Critical,0,Human,1.6,Yes,English
