text,intent,confidence,language
"Need help with IT software development for our department",consulting_it,0.92,en
"We want cloud migration consulting",consulting_it,0.88,en
"Cyber security audit required urgently",consulting_it,0.90,en
"Road construction tender issue",infrastructure_engineering,0.89,en
"Bridge repair work pending since months",infrastructure_engineering,0.85,en
"Water supply pipeline leakage in colony",infrastructure_engineering,0.87,en
"Power cut in our area since 8 hours",energy_power,0.94,en
"Electricity bill is very high this month",energy_power,0.82,en
"Solar panel installation query",energy_power,0.78,en
"Train ticket reservation not working",railways,0.91,en
"PNR status check karna hai",railways,0.89,hi
"Railway station cleanliness complaint",railways,0.80,en
"Salary not credited this month",finance_accounts,0.93,en
"Pension payment delayed",finance_accounts,0.87,en
"Vendor payment status batao",finance_accounts,0.85,hi
"Defense equipment supply tender",defense_ordnance,0.88,en
"Ammunition procurement query",defense_ordnance,0.84,en
"Military contract related issue",defense_ordnance,0.81,en
"Broadband connection not working",telecommunications,0.92,en
"Mobile tower signal very poor",telecommunications,0.90,en
"New fiber connection apply karna hai",telecommunications,0.87,hi
"Speak to a real officer please",human_agent_request,0.95,en
"Human se baat karna hai",human_agent_request,0.96,hi
"Connect me to senior executive",human_agent_request,0.94,en
"Yes, one more complaint hai",yes_continue,0.90,hi
"Yes please, another issue",yes_continue,0.88,en
"No, that's all thank you",no_thanks,0.93,en
"Bas ho gaya",no_thanks,0.91,hi
"Goodbye, thank you",exit_conversation,0.98,en
"Bye bye",exit_conversation,0.97,en
"I don't understand what you mean",unclear,0.35,en
"Kya bol rahe ho samajh nahi aa raha",unclear,0.40,hi
